customer_id,account_open_date,age,gender,region,urban,education_level,employment_status,KYC_verified,uses_equity_mobile_app,uses_equitel,mpesa_linked_to_bank,equity_mobile_sessions_last_30d,equity_mobile_txn_count_last_90d,mpesa_cash_in_count,mpesa_cash_out_count,num_deposits_last_90d,num_withdrawals_last_90d,equity_mobile_trans_volume_last_90d,avg_balance_last_6m,mshwari_savings_balance,mshwari_loans_count,fuliza_overdraft_amt,loan_applications_count,loan_repayment_rate,branch_visits_count_last_year,complaints_count_last_year,churn_probability,churned,churn_date
CUST00000,2022-08-03,31,Female,Central,0,Primary,Employed,Yes,1,0,1,11,30,4,0,3,0,21474.89,35611.98,6527.74,2,2306.93,1,0.5272,2,0,0.15207821657830786,0,
CUST00001,2023-12-01,37,Male,Rift Valley,0,None,Employed,Yes,0,1,1,0,7,2,0,2,4,55014.48,36814.17,17051.89,1,1738.13,2,0.8625,3,0,0.15179632145899205,0,
CUST00002,2023-12-23,21,Female,Central,1,Primary,Informal,Yes,0,0,1,0,2,14,7,5,3,47102.14,25640.25,0.0,3,2353.83,0,0.523,1,0,0.18660361785587656,0,
CUST00003,2022-12-30,52,Female,Western,1,Tertiary,Unemployed,Yes,1,0,1,18,9,10,7,2,4,26370.27,23344.21,0.0,1,3432.14,1,0.9567,1,0,0.13910675986668164,0,
CUST00004,2022-11-09,51,Male,Nairobi,1,Tertiary,Self-employed,Yes,1,0,1,3,18,9,5,4,3,49536.65,66554.01,23731.6,3,1260.34,0,0.815,1,0,0.0390007332090504,0,
CUST00005,2023-10-07,34,Female,Northeastern,1,Secondary,Informal,Yes,1,0,1,4,3,19,9,5,5,64628.67,76887.67,3565.85,0,1009.75,0,0.852,0,0,0.03174102191801813,0,
CUST00006,2022-12-05,30,Male,Central,1,Secondary,Employed,Yes,1,1,1,33,21,7,1,11,3,72296.12,23611.5,0.0,1,2699.74,1,0.7497,1,0,0.06248674460540917,0,
CUST00007,2022-08-03,47,Male,Central,0,Secondary,Informal,Yes,0,0,0,0,18,3,1,2,1,15588.39,26634.02,0.0,3,1469.53,0,0.8333,1,0,0.30470339213570097,1,2023-12-16
CUST00008,2022-11-20,21,Male,Nairobi,1,Primary,Employed,Yes,1,1,1,2,26,2,11,13,4,59403.33,7321.41,1409.62,4,6113.56,0,0.7981,2,0,0.0907887077062295,0,
CUST00009,2024-11-23,38,Male,Rift Valley,1,Primary,Employed,Yes,1,1,1,10,21,25,9,0,8,39388.73,50021.64,18086.81,4,1653.87,3,0.842,0,0,0.045835287789136384,0,
CUST00010,2024-06-04,25,Female,Rift Valley,0,Primary,Self-employed,Yes,1,0,1,3,3,2,5,3,0,35282.84,32261.63,0.0,0,3037.03,3,0.4757,6,0,0.24102302591123903,0,
CUST00011,2024-05-19,23,Male,Northeastern,0,Secondary,Employed,Yes,0,0,1,0,5,2,9,0,1,63069.75,35606.87,0.0,0,3262.91,1,0.6501,3,1,0.18741649987466727,1,2024-12-02
CUST00012,2022-04-10,40,Male,Western,1,Secondary,Employed,Yes,1,0,1,10,8,19,5,6,5,31349.77,214039.15,0.0,4,1359.44,2,0.9447,1,2,0.0045517442479773365,0,
